latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
2020-04-24,1959,51,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0,WHAMPOA GARDENS,51,JALAN BAHAGIA,WHAMPOA GARDENS,51 JALAN BAHAGIA WHAMPOA GARDENS SINGAPORE 320051,320051,30526.508680000003,34438.22715,1.32772151,103.8560206,103.8560206
2020-04-24,1959,58,stirling rd,2,qt,8,0,0,8,0,0,0,0,0,HDB-QUEENSTOWN,58,STIRLING ROAD,HDB-QUEENSTOWN,58 STIRLING ROAD HDB-QUEENSTOWN SINGAPORE 141058,141058,24797.405880000002,30951.8316,1.296191719,103.80454190000002,103.80454190000002
2020-04-24,1959,55,stirling rd,2,qt,6,0,0,6,0,0,0,0,0,HDB-QUEENSTOWN,55,STIRLING ROAD,HDB-QUEENSTOWN,55 STIRLING ROAD HDB-QUEENSTOWN SINGAPORE 142055,142055,24756.62495,30995.7875,1.296589236,103.8041754,103.8041754
2020-04-24,1959,55,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0,HDB-KALLANG/WHAMPOA,55,JALAN BAHAGIA,HDB-KALLANG/WHAMPOA,55 JALAN BAHAGIA HDB-KALLANG/WHAMPOA SINGAPORE 320055,320055,30598.31983,34473.55313,1.328040979,103.85666590000001,103.85666590000001
2020-04-24,1959,57,jln ma'mor,2,kwn,7,0,0,7,0,0,0,0,0,HDB-KALLANG/WHAMPOA,57,JALAN MA'MOR,HDB-KALLANG/WHAMPOA,57 JALAN MA'MOR HDB-KALLANG/WHAMPOA SINGAPORE 320057,320057,30611.288119999997,34516.53106,1.328429655,103.8567824,103.8567824
2020-04-24,1959,52,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0,WHAMPOA GARDENS,52,JALAN BAHAGIA,WHAMPOA GARDENS,52 JALAN BAHAGIA WHAMPOA GARDENS SINGAPORE 320052,320052,30510.957019999998,34440.902239999996,1.327745704,103.8558809,103.8558809
2020-04-24,1959,54,jln ma'mor,2,kwn,10,0,0,10,0,0,0,0,0,HDB-KALLANG/WHAMPOA,54,JALAN MA'MOR,HDB-KALLANG/WHAMPOA,54 JALAN MA'MOR HDB-KALLANG/WHAMPOA SINGAPORE 320054,320054,30556.02057,34497.217730000004,1.328254997,103.8562858,103.8562858
2020-04-24,1959,56,jln ma'mor,2,kwn,8,0,0,8,0,0,0,0,0,HDB-KALLANG/WHAMPOA,56,JALAN MA'MOR,HDB-KALLANG/WHAMPOA,56 JALAN MA'MOR HDB-KALLANG/WHAMPOA SINGAPORE 320056,320056,30600.916830000002,34489.3943,1.328184241,103.8566892,103.8566892
2020-04-24,1959,53,stirling rd,2,qt,6,0,0,6,0,0,0,0,0,HDB-QUEENSTOWN,53,STIRLING ROAD,HDB-QUEENSTOWN,53 STIRLING ROAD HDB-QUEENSTOWN SINGAPORE 141053,141053,24694.74348,31002.08693,1.296646199,103.8036194,103.8036194
2020-04-24,1959,56,stirling rd,2,qt,8,0,0,8,0,0,0,0,0,HDB-QUEENSTOWN,56,STIRLING ROAD,HDB-QUEENSTOWN,56 STIRLING ROAD HDB-QUEENSTOWN SINGAPORE 142056,142056,24767.09034,31007.60947,1.296696151,103.80426949999999,103.80426949999999
